Trocha(mm),Peralte(mm),Distancia(m),Latitud,Longitud,Velocidad(km/h),HoraGPS
1010.7, -18.77,368.305, No data,No data,0.0,00:00:00
1009.7, 7.83,369.355, No data,No data,0.0,00:00:00
1009.7, -44.75,370.432, No data,No data,0.0,00:00:00
1005.3, -83.21,371.467, No data,No data,0.0,00:00:00
1002.4, 1.63,372.547, No data,No data,0.0,00:00:00
1001.0, -33.69,373.678, No data,No data,0.0,00:00:00
1000.1, -1.35,374.679, No data,No data,0.0,00:00:00
1000.4, -53.47,375.732, No data,No data,0.0,00:00:00
1001.7, -32.60,376.847, No data,No data,0.0,00:00:00
999.4, -69.66,378.067, No data,No data,0.0,00:00:00
999.5, -56.79,379.132, No data,No data,0.0,00:00:00
1001.7, -93.95,380.181, No data,No data,0.0,00:00:00
1002.7, -64.27,381.227, No data,No data,0.0,00:00:00
1004.4, -107.89,382.400, No data,No data,0.0,00:00:00
1006.6, -58.51,383.552, No data,No data,0.0,00:00:00
1007.5, -75.49,384.702, No data,No data,0.0,00:00:00
1009.5, -44.55,385.821, No data,No data,0.0,00:00:00
1010.9, -21.98,387.107, No data,No data,0.0,00:00:00
1010.9, -51.41,388.455, No data,No data,0.0,00:00:00
1011.3, -73.13,389.669, No data,No data,0.0,00:00:00
